               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086897,            0.065675,            0.041581,             0.11232,             0.29847,             0.12044,            0.025648,            0.059986,             0.02163,            0.027071,           0.0032624,           0.0032624,            0.070638
                   1,            0.065723,            0.055482,            0.030754,              0.1598,              0.4564,             0.24297,            0.089977,            0.058582,            0.015738,            0.020876,           0.0065304,           0.0065304,            0.040573
                   2,            0.058315,            0.053488,            0.025747,             0.30525,             0.46947,             0.33182,             0.14539,             0.04619,            0.015607,            0.016742,           0.0097325,           0.0097325,            0.010442
                   3,            0.050791,            0.054151,            0.021708,             0.40813,             0.61608,             0.49849,             0.24906,            0.040953,            0.015325,            0.013083,            0.009703,            0.009703,            0.009703
                   4,            0.043228,            0.052919,            0.019088,             0.39783,             0.57122,              0.3769,             0.17488,            0.039556,            0.013186,            0.013703,            0.009703,            0.009703,            0.009703
                   5,            0.041622,            0.051837,            0.017584,             0.50588,             0.57548,             0.51619,             0.29213,            0.036872,            0.011528,            0.011287,            0.009604,            0.009604,            0.009604
                   6,             0.04001,            0.051633,            0.016496,             0.42928,             0.54277,             0.44036,             0.20053,            0.038367,            0.013032,            0.010646,            0.009505,            0.009505,            0.009505
                   7,            0.038317,            0.050012,            0.015793,             0.55974,             0.57424,             0.55973,             0.25079,            0.037876,            0.011172,            0.010061,            0.009406,            0.009406,            0.009406
                   8,            0.038638,            0.050332,            0.014532,             0.61501,             0.60672,             0.61722,             0.28671,            0.034755,            0.010494,            0.010171,            0.009307,            0.009307,            0.009307
                   9,            0.037679,            0.051493,            0.013503,             0.70527,             0.68622,             0.71523,             0.29438,            0.039559,            0.011161,           0.0083557,            0.009208,            0.009208,            0.009208
                  10,            0.036305,            0.047701,            0.011879,             0.71887,              0.6504,             0.70561,             0.33725,            0.034667,            0.010952,           0.0075011,            0.009109,            0.009109,            0.009109
                  11,            0.036436,            0.047344,            0.011204,             0.76084,             0.60504,              0.7029,             0.39037,            0.032341,             0.01033,           0.0068709,             0.00901,             0.00901,             0.00901
                  12,            0.034631,            0.046547,            0.010365,             0.60749,             0.57646,             0.63458,             0.31299,            0.034298,            0.010667,           0.0072591,            0.008911,            0.008911,            0.008911
                  13,            0.034278,              0.0461,            0.010401,             0.78726,             0.65854,             0.73996,              0.3805,            0.036263,           0.0093943,           0.0065684,            0.008812,            0.008812,            0.008812
                  14,            0.034305,            0.046117,           0.0095714,             0.62523,             0.74757,             0.69787,             0.34808,            0.034801,            0.010521,           0.0053785,            0.008713,            0.008713,            0.008713
                  15,            0.033944,            0.048687,           0.0091195,             0.57971,             0.64799,             0.64272,             0.32154,            0.034657,            0.010708,           0.0063429,            0.008614,            0.008614,            0.008614
                  16,            0.032924,            0.044691,           0.0093449,             0.79463,             0.65546,             0.73148,             0.38344,            0.035428,            0.010532,            0.006486,            0.008515,            0.008515,            0.008515
                  17,            0.033243,            0.043188,           0.0086234,             0.62832,             0.70216,             0.67726,             0.36954,            0.032398,            0.010631,           0.0059344,            0.008416,            0.008416,            0.008416
                  18,            0.032465,            0.043691,           0.0083313,             0.65152,             0.59766,             0.64283,             0.34964,            0.031156,            0.010447,           0.0070034,            0.008317,            0.008317,            0.008317
                  19,            0.031713,            0.042559,           0.0083789,             0.62249,             0.68235,             0.66771,             0.36133,            0.032486,            0.009891,           0.0055705,            0.008218,            0.008218,            0.008218
                  20,            0.031077,            0.043099,           0.0081772,             0.73978,             0.69475,             0.74167,             0.41267,            0.030565,            0.009596,           0.0050931,            0.008119,            0.008119,            0.008119
                  21,            0.031281,            0.043035,           0.0072453,              0.8068,             0.73045,             0.80242,             0.44362,            0.031703,           0.0099924,           0.0054684,             0.00802,             0.00802,             0.00802
                  22,            0.030826,            0.042016,           0.0074231,             0.84271,             0.72886,             0.83597,             0.40964,            0.035986,           0.0098991,           0.0052909,            0.007921,            0.007921,            0.007921
                  23,            0.030094,            0.041132,           0.0073341,             0.74261,             0.68196,             0.76637,             0.40816,            0.030901,            0.010149,           0.0043847,            0.007822,            0.007822,            0.007822
                  24,            0.030306,            0.040593,           0.0066144,             0.80538,             0.65024,              0.7586,             0.43387,            0.030894,            0.010181,           0.0041862,            0.007723,            0.007723,            0.007723
                  25,            0.029548,            0.040405,           0.0065397,             0.79279,             0.77321,             0.81751,             0.45386,            0.030551,            0.010142,           0.0034825,            0.007624,            0.007624,            0.007624
                  26,            0.028456,            0.039092,           0.0063705,             0.75596,             0.73692,             0.77367,              0.4095,            0.031475,            0.010871,           0.0043801,            0.007525,            0.007525,            0.007525
                  27,            0.029019,             0.03986,           0.0066561,             0.81784,             0.73128,             0.78987,             0.44543,            0.031791,            0.010337,           0.0035569,            0.007426,            0.007426,            0.007426
                  28,            0.029118,            0.039982,           0.0060516,             0.75806,             0.78865,             0.82088,             0.45754,            0.030923,            0.010035,           0.0039394,            0.007327,            0.007327,            0.007327
                  29,            0.028437,             0.03889,           0.0062595,             0.69507,             0.81487,              0.8103,             0.47897,            0.031058,           0.0090379,           0.0039681,            0.007228,            0.007228,            0.007228
                  30,            0.028404,            0.041024,           0.0060635,             0.80781,             0.79137,             0.85087,             0.51745,            0.028998,           0.0093176,           0.0033193,            0.007129,            0.007129,            0.007129
                  31,            0.028272,            0.037675,           0.0059802,             0.78304,             0.78845,             0.85581,             0.51099,            0.028903,           0.0085181,            0.004873,             0.00703,             0.00703,             0.00703
                  32,            0.028011,            0.039251,           0.0059952,             0.75319,             0.78763,             0.81878,             0.48505,            0.027916,           0.0089938,           0.0044752,            0.006931,            0.006931,            0.006931
                  33,            0.027808,            0.038145,           0.0065775,             0.86491,             0.74696,             0.82369,              0.4756,            0.031358,           0.0089496,           0.0039495,            0.006832,            0.006832,            0.006832
                  34,            0.027084,            0.039076,           0.0056845,             0.80815,              0.8579,             0.88434,             0.53809,             0.02812,           0.0079502,           0.0042241,            0.006733,            0.006733,            0.006733
                  35,            0.027213,            0.037138,           0.0055762,             0.89471,             0.77079,             0.86756,             0.48514,            0.030179,           0.0083814,           0.0041234,            0.006634,            0.006634,            0.006634
                  36,            0.027282,            0.038574,           0.0053298,             0.89322,             0.78625,             0.87713,             0.53077,            0.029626,           0.0098525,            0.003295,            0.006535,            0.006535,            0.006535
                  37,            0.026922,            0.037036,           0.0053634,             0.91605,             0.71364,             0.87143,             0.51174,             0.02887,           0.0090122,           0.0038667,            0.006436,            0.006436,            0.006436
                  38,            0.027171,            0.038711,           0.0051995,             0.81042,             0.84117,             0.86679,             0.53853,              0.0277,           0.0092133,           0.0034709,            0.006337,            0.006337,            0.006337
                  39,              0.0268,            0.036668,           0.0053959,             0.80812,             0.82346,             0.85456,             0.50394,            0.030297,           0.0087136,           0.0033943,            0.006238,            0.006238,            0.006238
                  40,            0.026146,            0.035923,           0.0053531,             0.82342,             0.81121,             0.85288,             0.52181,            0.027991,           0.0090795,           0.0046981,            0.006139,            0.006139,            0.006139
                  41,            0.026187,            0.035353,           0.0047761,             0.81356,             0.79307,             0.84192,             0.53893,            0.027508,           0.0090887,            0.004608,             0.00604,             0.00604,             0.00604
                  42,            0.025605,             0.03564,           0.0046899,             0.81359,             0.81033,             0.87189,             0.55815,              0.0279,           0.0085816,           0.0039364,            0.005941,            0.005941,            0.005941
                  43,            0.025257,            0.035093,           0.0051617,             0.85162,             0.76492,             0.85848,             0.54008,             0.02823,            0.010017,           0.0033621,            0.005842,            0.005842,            0.005842
                  44,            0.025228,            0.034091,           0.0049868,              0.8492,             0.81649,             0.85665,             0.54531,            0.028712,           0.0093737,           0.0056448,            0.005743,            0.005743,            0.005743
